county,crop,season,year,yield_kg_per_ha,area_planted_ha,avg_rainfall_mm,avg_temp_celsius,rainfall_deviation,ph_level,soil_type,fertility_index,rainfall_category,temp_category,season_encoded,crop_encoded,county_encoded
Nakuru,Maize,Long Rains,2015,2185.8,4758.5,1164.02,26.59,149.96,4.73,Loam,0.51,High,Hot,1,1,6
Nakuru,Maize,Short Rains,2015,3508.38,3033.43,498.06,20.5,71.95,4.73,Loam,0.51,Medium,Warm,0,1,6
Nakuru,Maize,Long Rains,2016,1377.27,864.37,1196.81,19.69,-109.04,4.73,Loam,0.51,High,Warm,1,1,6
Nakuru,Maize,Short Rains,2016,1014.91,4344.26,645.58,19.77,-40.08,4.73,Loam,0.51,Medium,Warm,0,1,6
Nakuru,Maize,Long Rains,2017,3024.13,3569.56,938.69,30.2,10.23,4.73,Loam,0.51,High,Hot,1,1,6
Nakuru,Maize,Short Rains,2017,876.16,4852.56,522.56,26.09,18.52,4.73,Loam,0.51,Medium,Hot,0,1,6
Nakuru,Maize,Long Rains,2018,3880.04,1140.46,788.3,30.08,102.83,4.73,Loam,0.51,Medium,Hot,1,1,6
Nakuru,Maize,Short Rains,2018,1472.75,998.68,575.41,25.36,54.07,4.73,Loam,0.51,Medium,Hot,0,1,6
Nakuru,Maize,Long Rains,2019,1925.7,2671.31,1173.38,30.08,132.73,4.73,Loam,0.51,High,Hot,1,1,6
Nakuru,Maize,Short Rains,2019,2398.2,1527.02,878.0,25.06,-81.7,4.73,Loam,0.51,High,Hot,0,1,6
Nakuru,Maize,Long Rains,2020,3063.86,783.52,737.43,28.53,103.27,4.73,Loam,0.51,Medium,Hot,1,1,6
Nakuru,Maize,Short Rains,2020,1880.94,1895.17,781.21,27.64,-0.1,4.73,Loam,0.51,Medium,Hot,0,1,6
Nakuru,Maize,Long Rains,2021,2487.46,3947.36,1065.3,25.15,108.48,4.73,Loam,0.51,High,Hot,1,1,6
Nakuru,Maize,Short Rains,2021,1538.79,2619.75,508.53,21.24,37.31,4.73,Loam,0.51,Medium,Warm,0,1,6
Nakuru,Maize,Long Rains,2022,2991.93,327.61,428.73,16.21,-24.95,4.73,Loam,0.51,Medium,Cool,1,1,6
Nakuru,Maize,Short Rains,2022,3047.92,935.57,801.19,30.95,-27.22,4.73,Loam,0.51,High,Hot,0,1,6
Nakuru,Maize,Long Rains,2023,1040.69,4749.54,963.08,31.92,125.0,4.73,Loam,0.51,High,Hot,1,1,6
Nakuru,Maize,Short Rains,2023,4372.84,4061.15,301.82,31.48,116.71,4.73,Loam,0.51,Low,Hot,0,1,6
Nakuru,Maize,Long Rains,2024,1927.07,578.59,929.54,15.76,22.03,4.73,Loam,0.51,High,Cool,1,1,6
Nakuru,Maize,Short Rains,2024,3331.66,2256.75,1038.03,24.1,-44.77,4.73,Loam,0.51,High,Warm,0,1,6
Nakuru,Beans,Long Rains,2015,1251.54,2526.37,1164.02,26.59,149.96,4.73,Loam,0.51,High,Hot,1,0,6
Nakuru,Beans,Short Rains,2015,927.24,4555.67,498.06,20.5,71.95,4.73,Loam,0.51,Medium,Warm,0,0,6
Nakuru,Beans,Long Rains,2016,1757.49,3346.36,1196.81,19.69,-109.04,4.73,Loam,0.51,High,Warm,1,0,6
Nakuru,Beans,Short Rains,2016,1953.33,2648.33,645.58,19.77,-40.08,4.73,Loam,0.51,Medium,Warm,0,0,6
Nakuru,Beans,Long Rains,2017,2822.83,1005.79,938.69,30.2,10.23,4.73,Loam,0.51,High,Hot,1,0,6
Nakuru,Beans,Short Rains,2017,4387.46,3898.15,522.56,26.09,18.52,4.73,Loam,0.51,Medium,Hot,0,0,6
Nakuru,Beans,Long Rains,2018,4276.15,4484.65,788.3,30.08,102.83,4.73,Loam,0.51,Medium,Hot,1,0,6
Nakuru,Beans,Short Rains,2018,3012.23,4617.18,575.41,25.36,54.07,4.73,Loam,0.51,Medium,Hot,0,0,6
Nakuru,Beans,Long Rains,2019,1127.42,1060.32,1173.38,30.08,132.73,4.73,Loam,0.51,High,Hot,1,0,6
Nakuru,Beans,Short Rains,2019,967.34,1694.12,878.0,25.06,-81.7,4.73,Loam,0.51,High,Hot,0,0,6
Nakuru,Beans,Long Rains,2020,2238.11,1429.61,737.43,28.53,103.27,4.73,Loam,0.51,Medium,Hot,1,0,6
Nakuru,Beans,Short Rains,2020,3866.33,1848.09,781.21,27.64,-0.1,4.73,Loam,0.51,Medium,Hot,0,0,6
Nakuru,Beans,Long Rains,2021,1839.46,2759.21,1065.3,25.15,108.48,4.73,Loam,0.51,High,Hot,1,0,6
Nakuru,Beans,Short Rains,2021,1321.42,4030.77,508.53,21.24,37.31,4.73,Loam,0.51,Medium,Warm,0,0,6
Nakuru,Beans,Long Rains,2022,1075.84,4935.75,428.73,16.21,-24.95,4.73,Loam,0.51,Medium,Cool,1,0,6
Nakuru,Beans,Short Rains,2022,3657.31,1073.71,801.19,30.95,-27.22,4.73,Loam,0.51,High,Hot,0,0,6
Nakuru,Beans,Long Rains,2023,820.43,4095.76,963.08,31.92,125.0,4.73,Loam,0.51,High,Hot,1,0,6
Nakuru,Beans,Short Rains,2023,3415.37,3672.14,301.82,31.48,116.71,4.73,Loam,0.51,Low,Hot,0,0,6
Nakuru,Beans,Long Rains,2024,3653.7,462.82,929.54,15.76,22.03,4.73,Loam,0.51,High,Cool,1,0,6
Nakuru,Beans,Short Rains,2024,2126.32,667.76,1038.03,24.1,-44.77,4.73,Loam,0.51,High,Warm,0,0,6
Nakuru,Wheat,Long Rains,2015,3993.48,3154.16,1164.02,26.59,149.96,4.73,Loam,0.51,High,Hot,1,4,6
Nakuru,Wheat,Short Rains,2015,2024.32,411.44,498.06,20.5,71.95,4.73,Loam,0.51,Medium,Warm,0,4,6
Nakuru,Wheat,Long Rains,2016,1950.63,1693.4,1196.81,19.69,-109.04,4.73,Loam,0.51,High,Warm,1,4,6
Nakuru,Wheat,Short Rains,2016,3499.54,3224.03,645.58,19.77,-40.08,4.73,Loam,0.51,Medium,Warm,0,4,6
Nakuru,Wheat,Long Rains,2017,4082.69,2413.85,938.69,30.2,10.23,4.73,Loam,0.51,High,Hot,1,4,6
Nakuru,Wheat,Short Rains,2017,1242.5,3594.9,522.56,26.09,18.52,4.73,Loam,0.51,Medium,Hot,0,4,6
Nakuru,Wheat,Long Rains,2018,3614.9,2850.26,788.3,30.08,102.83,4.73,Loam,0.51,Medium,Hot,1,4,6
Nakuru,Wheat,Short Rains,2018,3652.58,2519.6,575.41,25.36,54.07,4.73,Loam,0.51,Medium,Hot,0,4,6
Nakuru,Wheat,Long Rains,2019,2734.11,2194.95,1173.38,30.08,132.73,4.73,Loam,0.51,High,Hot,1,4,6
Nakuru,Wheat,Short Rains,2019,894.05,628.67,878.0,25.06,-81.7,4.73,Loam,0.51,High,Hot,0,4,6
Nakuru,Wheat,Long Rains,2020,916.29,3218.41,737.43,28.53,103.27,4.73,Loam,0.51,Medium,Hot,1,4,6
Nakuru,Wheat,Short Rains,2020,1963.12,2592.0,781.21,27.64,-0.1,4.73,Loam,0.51,Medium,Hot,0,4,6
Nakuru,Wheat,Long Rains,2021,4158.0,1321.53,1065.3,25.15,108.48,4.73,Loam,0.51,High,Hot,1,4,6
Nakuru,Wheat,Short Rains,2021,2318.42,3802.2,508.53,21.24,37.31,4.73,Loam,0.51,Medium,Warm,0,4,6
Nakuru,Wheat,Long Rains,2022,1646.55,477.2,428.73,16.21,-24.95,4.73,Loam,0.51,Medium,Cool,1,4,6
Nakuru,Wheat,Short Rains,2022,1872.08,889.98,801.19,30.95,-27.22,4.73,Loam,0.51,High,Hot,0,4,6
Nakuru,Wheat,Long Rains,2023,4239.88,4059.79,963.08,31.92,125.0,4.73,Loam,0.51,High,Hot,1,4,6
Nakuru,Wheat,Short Rains,2023,3143.59,4370.16,301.82,31.48,116.71,4.73,Loam,0.51,Low,Hot,0,4,6
Nakuru,Wheat,Long Rains,2024,3773.59,1014.19,929.54,15.76,22.03,4.73,Loam,0.51,High,Cool,1,4,6
Nakuru,Wheat,Short Rains,2024,4102.47,2742.78,1038.03,24.1,-44.77,4.73,Loam,0.51,High,Warm,0,4,6
Nakuru,Sorghum,Long Rains,2015,3787.53,4490.85,1164.02,26.59,149.96,4.73,Loam,0.51,High,Hot,1,3,6
Nakuru,Sorghum,Short Rains,2015,1976.61,639.25,498.06,20.5,71.95,4.73,Loam,0.51,Medium,Warm,0,3,6
Nakuru,Sorghum,Long Rains,2016,1643.36,2192.83,1196.81,19.69,-109.04,4.73,Loam,0.51,High,Warm,1,3,6
Nakuru,Sorghum,Short Rains,2016,3826.65,4317.58,645.58,19.77,-40.08,4.73,Loam,0.51,Medium,Warm,0,3,6
Nakuru,Sorghum,Long Rains,2017,825.72,2602.66,938.69,30.2,10.23,4.73,Loam,0.51,High,Hot,1,3,6
Nakuru,Sorghum,Short Rains,2017,2344.42,1188.33,522.56,26.09,18.52,4.73,Loam,0.51,Medium,Hot,0,3,6
Nakuru,Sorghum,Long Rains,2018,1243.5,1754.31,788.3,30.08,102.83,4.73,Loam,0.51,Medium,Hot,1,3,6
Nakuru,Sorghum,Short Rains,2018,4288.77,1683.69,575.41,25.36,54.07,4.73,Loam,0.51,Medium,Hot,0,3,6
Nakuru,Sorghum,Long Rains,2019,2719.53,3544.79,1173.38,30.08,132.73,4.73,Loam,0.51,High,Hot,1,3,6
Nakuru,Sorghum,Short Rains,2019,2145.43,4861.73,878.0,25.06,-81.7,4.73,Loam,0.51,High,Hot,0,3,6
Nakuru,Sorghum,Long Rains,2020,4361.05,1333.73,737.43,28.53,103.27,4.73,Loam,0.51,Medium,Hot,1,3,6
Nakuru,Sorghum,Short Rains,2020,2639.82,1574.3,781.21,27.64,-0.1,4.73,Loam,0.51,Medium,Hot,0,3,6
Nakuru,Sorghum,Long Rains,2021,1853.91,280.75,1065.3,25.15,108.48,4.73,Loam,0.51,High,Hot,1,3,6
Nakuru,Sorghum,Short Rains,2021,3055.39,2563.13,508.53,21.24,37.31,4.73,Loam,0.51,Medium,Warm,0,3,6
Nakuru,Sorghum,Long Rains,2022,990.47,1465.37,428.73,16.21,-24.95,4.73,Loam,0.51,Medium,Cool,1,3,6
Nakuru,Sorghum,Short Rains,2022,4160.58,1273.85,801.19,30.95,-27.22,4.73,Loam,0.51,High,Hot,0,3,6
Nakuru,Sorghum,Long Rains,2023,1336.11,2498.32,963.08,31.92,125.0,4.73,Loam,0.51,High,Hot,1,3,6
Nakuru,Sorghum,Short Rains,2023,4446.91,1286.07,301.82,31.48,116.71,4.73,Loam,0.51,Low,Hot,0,3,6
Nakuru,Sorghum,Long Rains,2024,3286.9,3831.94,929.54,15.76,22.03,4.73,Loam,0.51,High,Cool,1,3,6
Nakuru,Sorghum,Short Rains,2024,1679.26,3668.26,1038.03,24.1,-44.77,4.73,Loam,0.51,High,Warm,0,3,6
Nakuru,Potatoes,Long Rains,2015,2160.8,3198.3,1164.02,26.59,149.96,4.73,Loam,0.51,High,Hot,1,2,6
